562270, +66, -61
502559, +41, -35
481904, +2, -7
457413, +9, -14
434661, +29,-48
434659, +29,-48
389200, +20,-16
372822, +11, -16
372759, +9, -14
370031, +3,-10
363848, +4,-12
358344, +51,-51
340040, +1,-13
291327, +8,-10
274992, +7,-12
274830, +4,-12
249629, +134,-138
242812, +3,-9
240565, +3,-9
240565, +97,-104
235573, +41,-41
234220, +75,-82
224778, +179, -53
144248, +8, -17
143648, +17,-16
143121, +46,-47
143120, +23,-30
143118, +91,-89
143117, +43,-52
143116, +23, -32
143114, +72,-66
1003197, +xxxx, -xxxx
1004005, +xxxx, -xxxx
161151, +xxxx, -xxxx
392292, +xxxx, -xxxx
566398, +xxxx, -xxxx
644636, +xxxx, -xxxx
653902, +xxxx, -xxxx
759536, +xxxx, -xxxx
821295, +xxxx, -xxxx
861961, +xxxx, -xxxx
866647, +xxxx, -xxxx
890710, +xxxx, -xxxx
905488, +xxxx, -xxxx
916260, +xxxx, -xxxx
926707, +xxxx, -xxxx
970669, +xxxx, -xxxx
